"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","계",651380,672432,693417,713346,732636,751007,776209,801080,825601,849767,873909,913258,953574,991599,1023089,1052558,1062312,1068550,1078519,1099843,1124968,1154456,1184604,1214505,1244187,1273532,1292483,1317015,1340506,1361160,1382426,1401954,1421613,1431964,1444682,1445390,1448384,1456365,1465274,1479146,1493632,1502051,1503758,1503835,1504582,1505906,1502125,1495392,1488439,1489142,1479550,1476003,1469502,1463254,1455515
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","0 - 4세",84478,89011,93352,97037,100200,100212,98220,96092,94712,93939,95143,98734,102227,104678,103610,100811,96385,91215,87834,87554,86836,89908,94197,98853,103404,107499,109342,110238,110138,108611,107585,104306,100140,94172,89557,83327,77472,74783,73915,73471,74471,74732,73752,72321,70836,69722,67662,64029,60178,56615,51992,47517,44436,41108,38028
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","5 - 9세",85904,86012,86749,87884,90044,93162,96807,100631,103194,104375,103465,103145,102479,102261,102561,103889,105926,108037,109497,109001,106217,102006,97399,93801,92021,91947,94067,98504,103722,108766,112897,114995,116748,114780,112755,110480,107605,102531,96792,91746,85470,79709,77219,76407,74825,74187,74695,74013,72922,72065,71547,69404,66477,62646,58725
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","10 - 14세",94622,97375,100532,101776,101344,100429,100310,100212,100450,102225,105133,111165,117400,122112,124843,125827,122334,118100,114495,113680,114694,118103,121762,124015,123412,120014,114422,107761,102683,99269,97978,101121,105598,109581,114760,117558,119882,119457,117846,115808,114367,111648,105684,99166,93848,86793,79883,76676,75565,73836,73319,74207,73944,72947,71981
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","15 - 19세",91133,96779,102107,107657,112483,115721,120762,125105,128551,129938,129816,132108,135160,139593,145489,152825,152788,152063,150675,148822,145058,141103,136567,132423,129987,129914,132087,135495,137337,135810,130864,123499,117008,110487,105888,103744,103739,107573,112583,117092,119735,121720,121379,120265,117286,114381,110015,104306,97796,92944,84823,79528,76961,75145,72950
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","20 - 24세",61926,62282,62943,62668,63295,66101,73049,78963,84790,90561,95570,103240,109690,113927,115853,117077,116461,115249,114687,117026,122802,129064,135184,139975,142723,143494,139902,135944,133027,131575,132890,134913,138168,140401,140288,134726,125296,116226,109095,106028,106433,105341,107580,110715,114320,117493,118731,119406,118692,118005,114232,112849,107422,102581,97505
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","25 - 29세",47256,47286,48326,50563,53082,55585,56822,58128,59797,62613,66995,73686,79999,86565,92559,98141,101009,102973,104600,105880,107235,109021,111189,114277,118721,124165,126784,131098,133788,135032,134751,132086,128280,125123,123334,121704,123736,126742,127863,126109,120414,114295,106492,99492,95018,94340,92749,95364,98336,102738,105429,108052,108160,107969,106356
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","30 - 34세",43007,44153,45393,45684,45746,45498,46549,48650,51561,54814,57856,59739,61968,64393,67433,70470,76577,80797,86297,92378,97895,103216,107705,110888,112643,113475,114225,115374,116580,119546,123790,127410,131323,132513,132265,128853,125870,121843,118168,115910,117746,120460,122257,122291,119353,112885,105546,97072,90399,87349,86197,86322,89428,93212,96387
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","35 - 39세",35632,37413,39163,40877,42157,43132,45127,47145,48638,49512,50115,51452,53708,56867,60368,63904,63535,64714,65394,67868,73846,81057,88013,95272,102354,108279,112115,116423,119225,119653,119380,120199,121207,121785,125101,126727,128996,131667,133050,133334,132174,129068,125633,121115,117511,117637,117919,118151,117571,115087,108399,102339,95062,89174,85429
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","40 - 44세",29058,30044,31121,32403,33859,35740,38242,40536,42719,44695,46308,48790,51324,53004,53773,54479,55337,56643,58980,62673,66188,68065,69714,71432,74419,79377,85804,91709,98662,105896,110986,115981,120442,123505,123135,121775,120936,121835,122469,127261,130033,133784,135889,137575,136463,134357,128128,124108,118951,115156,114604,115523,116831,116657,113730
