"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","계",1294646,1344660,1395645,1445274,1494654,1543540,1611920,1680300,1749080,1818250,1888506,1940193,1995279,2046550,2091406,2129426,2162263,2195733,2229908,2266543,2293038,2332235,2370971,2407544,2442258,2475360,2488905,2495979,2502146,2511610,2528863,2535374,2530953,2531930,2533260,2509168,2490045,2483535,2480984,2481714,2479781,2483116,2480493,2475657,2474900,2468755,2461272,2457769,2448800,2436776,2414262,2395774,2371593,2359734,2353742
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","0 - 4세",167784,174988,181651,186893,191013,189082,187698,185988,185666,186520,191340,196004,200739,203641,200531,193961,186007,177190,171194,169639,165902,168997,174209,179865,185082,189267,188473,184774,179634,172965,167761,161669,150986,141828,134147,123259,112556,108012,106180,104252,104040,104791,105434,103814,102937,102475,100390,97005,91676,86194,78427,70036,63845,59111,55616
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","5 - 9세",157757,158340,160086,162575,166976,173181,181366,190007,196375,200174,199980,197666,195136,193778,194213,196443,201446,207383,211414,209674,201951,193146,183683,176217,172240,171500,171852,174967,179247,183493,186419,186697,184112,179343,173736,166501,159217,149701,140695,133216,123499,113949,109582,108298,105679,104273,105485,106234,104667,103644,103360,101251,97670,93210,88715
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","10 - 14세",172181,177389,183346,185823,185245,183783,185710,187697,190340,195968,203898,210782,218081,222575,224215,222498,219334,215463,211813,211228,212348,217174,222383,224961,222350,214767,205113,192209,182380,176220,174309,175292,178614,183407,187464,188828,188430,184969,180026,174308,169191,162928,153181,143352,135556,124921,114961,110563,108857,105648,104048,104996,105373,104416,104279
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","15 - 19세",174953,187679,200025,213064,224881,233709,245475,255927,264643,269198,270667,264600,260585,259454,261784,265996,267059,267859,266553,261893,251883,245358,237797,230897,226958,227134,229636,232649,233062,228579,219021,204496,190449,179476,173996,172594,172188,175698,180274,183217,184416,185989,183391,179446,173265,168132,160729,151239,141260,134188,124553,113875,109024,107777,104685
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","20 - 24세",128345,133049,138553,142174,147991,159273,176732,191882,207007,222104,235345,247165,255959,259557,258764,256124,253266,250103,247524,248805,255113,261877,267919,270968,269869,265025,254587,242091,231986,225478,224365,225510,226689,227212,221706,207536,192295,178175,167977,164205,164561,165825,169673,173789,177379,178995,179020,175672,173403,169614,165554,161482,150197,141173,135035
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","25 - 29세",108366,108351,110667,115703,121356,126937,132237,137862,144535,154242,168193,180580,191778,203308,213869,222943,229743,235347,239388,240337,239480,237804,236889,237801,241297,246489,246651,248240,246749,243403,238009,228742,217040,207892,202299,197417,199189,200475,199430,193421,181350,170600,159544,150462,147047,147288,147546,153109,159294,162009,161491,163293,158927,155032,150170
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","30 - 34세",95328,98552,102026,103399,104258,104422,106855,111704,118423,125932,132968,137361,142852,149058,157394,165730,179533,189504,201780,213283,221440,229187,234754,237238,236544,233887,230316,226024,222049,222157,225032,228408,229863,229040,225029,215867,205406,196100,187131,181297,180492,182387,184214,183382,179118,168261,158054,148935,141646,138699,137945,137448,141311,146623,150660
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","35 - 39세",76602,81354,86142,90952,94886,98209,102961,107782,111418,113644,115249,116344,119661,125034,131529,137841,139545,145217,149409,156382,170235,183080,194773,206576,217449,225391,230636,235082,236465,233903,230602,227318,223972,220948,222669,221026,222033,222536,221950,217788,212116,203831,194923,185758,178959,177830,179138,180457,180752,176161,164322,153772,144106,137347,135915
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","40 - 44세",57187,60503,64121,68289,72989,78814,84970,90746,96351,101566,106019,110271,114756,117419,118519,119375,121061,124172,129099,135669,140561,145226,149444,153847,161035,172572,184107,192883,203542,215024,222393,228256,233341,237287,235244,229836,222582,219931,217127,221553,222920,225514,225772,224408,219557,212969,203146,194424,184798,176860,174340,175320,176356,176671,173787
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","45 - 49세",47103,48625,49758,51394,53801,56566,60286,64715,69588,74948,81424,87270,92534,97612,102284,106334,110205,114020,116534,117542,115829,116933,119927,125190,131723,137972,141518,145497,148708,154494,166299,177701,186005,195858,207270,213480,221014,226333,231247,228998,225204,219477,216948,214163,220755,222682,224270,224685,222040,215646,207599,197316,188334,179763,173035
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","50 - 54세",34459,36142,38106,40861,43550,45835,47757,49579,51449,53735,56412,59841,64192,68900,74139,79666,84875,90049,95106,99998,102491,106103,109724,111730,112101,112050,112270,114529,119239,125555,132119,135693,140467,144620,148873,157311,166796,175202,184018,195454,203562,214627,219537,225436,223228,218895,212006,210507,207867,213538,214086,215274,215055,213627,208688
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","55 - 59세",27728,29069,29427,29912,30872,32298,34305,36711,39664,42586,44941,46173,47563,49250,51426,53986,57078,61004,65530,70457,75091,80226,84955,89566,93765,97221,99741,102837,104391,104490,104867,105654,107274,110797,116277,122667,127750,132681,136637,139734,148779,159780,166824,173472,184299,193175,205143,210330,215924,212649,208008,200876,198995,197292,203894
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","60 - 64세",20075,21309,21897,22628,23084,23893,25588,27118,28320,29530,30969,32533,34535,36941,39387,41476,42965,44361,45979,48052,50469,53472,57095,60991,65256,70238,75610,79537,83303,86764,89583,92512,95846,98543,99313,98335,96617,97505,100115,105686,112268,119045,124683,129366,132064,140607,151371,157633,163049,173840,182370,192990,196628,202782,200761
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","65 - 69세",12104,13587,13670,14728,16257,17598,18677,19860,21002,21950,23047,23977,25012,25951,26943,28120,29558,31379,33591,36207,38100,39147,40259,41659,43539,45780,48610,51942,55431,59228,63988,68467,71765,75429,78659,80963,83646,87651,91328,92324,92107,89573,90213,92019,97237,102987,110640,116938,121924,123615,131943,141868,147210,152476,163268
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","70 - 74세",8735,9247,9366,9542,9544,10502,11168,11922,12996,14343,15519,16405,17457,18409,19326,20351,20919,21783,22714,23623,24886,25807,27157,28961,30822,32304,33404,34571,35964,37839,39958,42396,45359,48154,51426,55517,58877,61991,65699,69448,72188,75074,79682,84644,86252,86258,81780,82776,84232,89461,95206,102341,107797,112580,114550
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","75 - 79세",3548,4015,4243,4639,5101,6004,6490,6878,7054,7189,7549,8033,8912,9751,10682,11707,12202,12779,13439,14124,15872,16648,17259,17613,18012,18760,19834,20873,22177,23745,25205,26260,27493,29044,30517,31901,34064,36916,39240,42214,45917,49944,53399,56599,60150,62761,65657,70314,75356,76870,76799,72974,73864,75665,80916
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","80세이상",2391,2461,2561,2698,2850,3434,3645,3922,4249,4621,4986,5188,5527,5912,6401,6875,7467,8120,8841,9630,11387,12050,12744,13464,14216,15003,16547,17274,17819,18273,18933,20303,21678,23052,24635,26130,27385,29659,31910,34599,37171,39782,43493,47249,51418,56246,61936,66948,72055,78140,84211,90662,96901,104189,109768
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","80 - 84세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12438,13297,14083,15069,16346,17308,17973,19298,20635,22250,23643,25370,27715,29965,32560,36043,39793,42477,45154,48345,50982,53599,57254,61563,63166
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","85 - 89세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4807,5271,5763,6106,6298,6623,7041,7717,8443,9284,10101,10734,11619,12589,13790,14746,16211,17923,19704,21712,24427,27210,28908,30802,33306
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","90 - 94세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1396,1463,1535,1549,1630,1809,1964,2205,2381,2558,2820,3018,3438,3927,4240,4518,4877,5358,5835,6663,7283,8149,8902,9749,10942
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","95 - 99세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,254,238,259,283,313,338,353,381,384,431,528,585,643,686,740,840,940,1061,1232,1278,1352,1498,1595,1831,2122
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대구광역시","계","100세 이상",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,34,38,45,48,52,54,58,67,76,79,75,78,82,88,99,115,129,130,142,167,206,242,244,232
