"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","계",548414,569050,590072,610596,630981,650941,683582,716734,750442,784747,820076,842954,863535,887444,918722,951943,964457,973775,984042,1003113,1035986,1083721,1133067,1183308,1234568,1286844,1315028,1338886,1358370,1377545,1396869,1417579,1433562,1453216,1460948,1469868,1481261,1493931,1501152,1508164,1515009,1528356,1540136,1545232,1552692,1542394,1536169,1527784,1513217,1503212,1491876,1482094,1472473,1473897,1473033
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","0 - 4세",73486,77119,80557,83402,85776,85442,86024,86454,87536,89193,92802,94561,95897,96884,96063,93975,89853,85040,81670,81065,80850,84922,90263,96096,101967,107531,108750,108193,106419,103517,101119,98526,94743,90623,86224,81533,76696,74840,74779,73464,73352,74791,75855,75098,74650,72549,69521,65845,61061,56476,50809,45663,42621,40587,38346
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","5 - 9세",74570,74203,74377,74882,76249,78402,82771,87416,91077,93591,94257,92789,90818,89927,90868,93075,95369,97756,99293,98888,97370,96045,94194,93177,93895,96375,97995,101199,104841,108371,110849,112027,111374,109922,107383,104711,102171,97600,91930,87638,82170,77650,76409,76479,75145,73229,72832,71625,69359,67976,66935,64497,61469,58075,54500
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","10 - 14세",77894,80469,83398,84754,84720,84278,84994,85733,86767,89155,92578,95571,98298,100304,102141,102916,101030,98486,96140,95956,98287,103660,109461,114186,116383,115921,112544,107121,102922,100527,100215,101833,104192,107450,110488,112927,114638,113443,111347,108532,105587,103396,97996,92427,88218,81802,75619,72828,71588,69334,68438,68755,67977,66628,65804
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","15 - 19세",66142,72034,77942,84285,90315,95290,101042,106353,111028,114020,115736,114039,112695,113248,116610,121466,122319,122625,122053,120896,119347,119305,118660,118236,119262,122478,126106,130012,132141,131288,127064,121229,116202,111646,108214,106209,106197,111495,116647,119572,120405,119645,120519,120100,118430,114466,110207,104360,98417,93670,87418,80966,78913,74732,69862
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","20 - 24세",48021,49823,51941,53347,55582,59878,67474,74374,81440,88696,95442,100476,103788,105572,106752,107663,105956,103746,101868,102391,106896,114258,121710,128164,132898,135884,133864,130439,127693,126605,128134,130856,133600,136179,135574,133324,128213,121205,115749,114673,117800,118188,119710,121574,124686,128202,129738,129235,126533,124598,123162,120652,114486,114355,113261
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","25 - 29세",42811,42324,42740,44179,45811,47372,50112,53051,56479,61200,67756,73528,78574,84300,90740,97215,99203,100274,100708,100617,101575,104444,107736,111988,117668,124466,127592,131447,133341,134037,133188,131085,127248,125129,121453,122128,126035,129400,129073,126526,120723,117242,111890,107185,104171,102392,103050,105733,107760,109973,111810,113442,113471,115646,116995
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","30 - 34세",39279,40259,41321,41517,41504,41212,42453,44677,47683,51049,54270,56575,59107,62318,67224,72634,79054,83559,89154,95178,101601,108057,113736,118111,121015,122957,123043,122613,121956,123352,125947,129947,133679,136573,135813,133247,129336,125125,120871,117664,117766,121060,124155,123977,122093,114376,107931,101619,96097,93223,92531,93067,95848,99864,103634
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","35 - 39세",31585,33448,35312,37173,38664,39896,41906,43952,45523,46522,47273,47935,49300,51804,55409,59284,60416,63037,65067,68862,77157,85905,94616,103892,113221,121500,125708,129456,131172,130514,129051,128283,127032,127157,128750,130356,133851,137354,138411,136886,134340,130636,126996,122727,118879,116827,116606,117258,115498,111876,105607,99381,93500,90274,88595
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","40 - 44세",24740,25837,27031,28425,30000,31984,34616,37112,39553,41850,43848,45654,47344,48551,49660,50913,51763,53035,55115,58351,62004,65915,69792,73928,79622,87796,95651,102267,109797,117829,123447,127710,131127,133908,132784,130433,128184,126666,126318,130307,132288,135820,138684,139848,138159,133636,127456,121617,115806,110709,109233,109709,110479,110021,107507
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","45 - 49세",20449,21092,21566,22255,23278,24456,25790,27401,29165,31089,33424,35826,37817,39938,42364,44779,46477,47985,48972,49713,50194,51746,54193,57767,62066,66383,69490,72827,75653,79772,86881,94660,101148,108908,116378,121587,126829,130177,132338,130892,129012,125690,124416,123788,130612,131096,134380,135307,134802,131220,127166,121235,116129,111478,107111
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","50 - 54세",15478,16113,16863,17946,18981,19821,20643,21422,22223,23206,24360,25554,26992,28691,30912,33402,35459,37358,39208,41291,43131,45483,47911,49696,50790,51713,52652,54545,57492,61194,64888,67513,70680,73799,77408,83897,91235,97520,104334,111392,116516,123615,126839,129238,127687,125535,119094,117858,116641,123292,123357,126733,127915,128821,125896
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","55 - 59세",12523,13086,13202,13375,13760,14350,15223,16269,17554,18817,19823,20288,20726,21405,22543,23978,25036,26338,27864,29736,32022,34567,36986,39398,41673,43654,45416,47449,48667,49153,49631,50766,52681,55266,58525,61584,64216,67253,69615,72868,79029,86958,93023,99758,106211,111003,118476,120403,121686,118835,116516,110568,109721,109744,116861
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","60 - 64세",9074,9678,9990,10373,10631,11054,11797,12459,12967,13477,14086,14715,15463,16469,17672,18815,19377,19820,20363,21268,22728,24174,25913,27790,29844,32236,34838,36768,38520,40072,41206,43105,45062,46693,46972,48091,48428,49922,51928,54680,57820,60795,63780,66208,69352,75304,82259,87284,93163,98565,102981,110153,111966,113903,111614
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","65 - 69세",5685,6350,6348,6803,7472,8045,8589,9190,9776,10277,10854,11194,11522,11866,12361,12999,13584,14285,15162,16329,17466,18239,19067,20057,21312,22785,24043,25508,26952,28470,30312,32590,34415,36402,38089,39029,40432,42844,44523,45053,45923,45963,47048,48348,51202,54424,57445,59861,61751,64185,69902,76385,80927,86569,92030
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","70 - 74세",3772,4061,4189,4346,4433,4974,5282,5628,6124,6746,7284,7669,8089,8505,9001,9602,9818,10137,10483,10901,11692,12370,13279,14445,15681,16765,17364,17982,18666,19569,20531,21612,22991,24466,25772,27634,29878,31686,33233,35014,36084,37152,39795,41952,42832,43901,43302,43706,44614,47079,50104,52936,55307,57337,59919
