"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","계",2045828,2155433,2270494,2386209,2504899,2625143,2756845,2890337,3026409,3165516,3309338,3399677,3469299,3526625,3580187,3627990,3671462,3724562,3773138,3803288,3803334,3816713,3829348,3839022,3846467,3852295,3826168,3803326,3775121,3752322,3732630,3716425,3684942,3648852,3623903,3590291,3563009,3538031,3514331,3497197,3476658,3476349,3461881,3455734,3452309,3452260,3446962,3424409,3403116,3381208,3355632,3333677,3303196,3284246,3264616
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","0 - 4세",277055,295367,313427,329638,344392,348488,349982,350849,354340,360127,373747,379222,381840,380351,368677,351711,330081,308431,291759,281350,266969,264465,265120,266221,266454,265045,258411,248815,237218,223924,212351,203427,188519,173827,162593,149645,137765,132405,130528,127979,127324,130951,132587,132875,133265,134747,133108,127556,120054,112231,101955,92048,84210,77541,71854
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","5 - 9세",248222,254261,262351,271906,285009,301677,320523,340669,357196,369394,374398,370294,363052,357607,356398,359169,364407,372023,375478,366532,346411,321355,296397,275736,261309,252227,247500,247640,248958,250026,248556,244609,236686,225249,214247,203901,193640,181145,168048,157920,145379,134086,129015,128625,126445,126653,130529,131751,130916,130767,132197,130322,125727,119495,112449
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","10 - 14세",264516,273220,283124,287686,287525,285990,293484,301241,310243,324392,342772,357736,370900,378856,382915,381989,376045,369762,363248,359888,358339,362498,367155,367369,359147,343111,318528,291031,268824,252730,242582,239752,240618,242866,243841,242900,240336,232179,221598,211466,202174,193087,179825,167651,157976,146257,134990,129520,127777,125315,125014,128369,130259,130284,130383
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","15 - 19세",251004,272567,294068,317109,338828,356479,372588,386527,397698,402535,402729,397863,393026,392035,397269,406206,414399,423310,428312,425392,412295,400211,386532,374025,366397,365450,365763,367965,365487,355297,336564,308071,280740,259305,245780,239077,235367,237741,241360,242861,242333,240642,235427,227766,218418,209092,199986,187746,174936,164368,149820,136855,131604,129439,126148
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","20 - 24세",195818,207809,221537,232719,247990,273222,301724,326069,350172,373988,394401,408915,415005,411911,402922,392053,389101,386548,384233,385643,393630,402147,409492,412226,408664,399503,384354,367192,352955,344049,342433,343320,344148,342264,332502,311261,285877,261906,244047,235361,232618,233138,235080,240101,243903,247334,246774,241790,236071,228092,220245,212907,197665,189331,181962
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","25 - 29세",187479,190608,197953,210447,224458,238760,249840,261615,275467,295240,323380,343293,357811,371828,384374,394444,398624,401339,400549,392275,380071,369622,360600,354518,352309,352472,351014,352664,349410,343462,333836,322505,306877,294266,288579,287597,293946,297683,294793,285840,266469,249980,232452,219690,212774,213083,211800,216200,222050,224758,225785,226485,220238,214446,207710
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","30 - 34세",164777,173827,183617,189872,195356,199633,205441,215973,230235,246195,261388,269217,277086,285788,299028,312614,333931,348408,366100,379667,385518,385059,380626,371211,357189,340830,329415,318281,307419,302316,300209,304787,306220,303281,296486,287302,274878,262532,252623,246621,247996,256859,263353,264017,258826,244811,229431,212670,200330,193888,192846,193665,199001,205267,207914
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","35 - 39세",126771,136519,146571,156911,165974,174151,184617,195416,204273,210701,216094,218526,223476,231863,242791,253723,255687,265395,271894,281724,302665,319071,332758,345978,357030,362798,359729,356403,347962,333931,318568,309371,299145,288557,286719,285582,286057,286580,285493,279502,271587,261075,250599,242711,237792,242772,250061,254669,254262,247695,231920,216887,202318,192225,187413
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","40 - 44세",97652,102959,108746,115457,123033,132455,143763,154560,165178,175234,184089,193350,201671,206562,209237,211918,214816,220739,229547,239889,246418,253276,259283,265543,276516,294802,308070,317140,328381,340333,344416,344872,344072,339185,326318,310055,296628,287558,277753,279947,279777,282771,283797,283637,278773,272234,260649,248815,239351,232514,234320,240333,246078,246666,241923
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","45 - 49세",77098,80574,83469,87268,92478,98429,104094,110909,118382,126554,136448,147199,155931,164114,172009,179210,187447,196171,202472,205026,202222,203796,208652,217439,228408,238856,243046,248666,252549,260647,277996,292692,302486,314879,327782,331763,336305,335702,333322,320783,305928,291344,282306,272765,279759,281049,282646,282457,280929,273497,265241,252683,241634,232818,226866
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","50 - 54세",51878,55597,59902,65639,71493,76896,80832,84664,88642,93418,98961,104088,109900,115963,122971,130470,139711,149345,158667,166846,170431,177719,185122,189875,191891,193198,193111,197154,205110,215756,226218,231361,238327,242547,249685,264357,279535,290809,303227,316100,321346,329994,328154,327109,314746,300516,283668,275400,265964,272053,272629,273667,273983,272632,265838
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","55 - 59세",39190,41733,42909,44303,46446,49360,53609,58662,64806,71146,76775,79219,81348,83857,87389,91740,96320,102470,109387,116192,121970,130565,138544,146368,153548,159537,164751,171516,175561,177168,178800,180505,184240,191232,199995,209825,218973,225921,229897,235342,250325,266463,276544,288010,300853,305832,316369,314311,312825,300531,286654,270189,263009,255196,262221
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","60 - 64세",28060,30156,31370,32820,33898,35523,38419,41119,43367,45669,48371,51524,55046,59186,63591,67611,70422,73281,76417,79885,83671,87816,92889,98298,104186,111088,119703,126463,132831,138708,143237,149674,156917,162404,165367,166022,165632,168339,174146,182801,192388,202251,209091,213933,218774,233159,249782,259814,270843,283009,288741,299294,297455,297091,286098
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","65 - 69세",16823,19000,19232,20849,23156,25222,26924,28799,30633,32201,34006,35464,36811,37954,39255,40893,43764,47412,51710,56454,59981,62054,64256,66948,70451,74586,78151,82660,87196,92084,98069,105418,111319,116615,122198,128097,133747,141235,148887,151945,153521,150740,153566,157874,166848,175863,186803,193375,198583,203622,218202,233781,243580,254432,266898
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","70 - 74세",11634,12510,12866,13310,13509,15088,16041,17126,18675,20623,22327,23525,24764,25804,26828,28031,28983,30431,31942,33248,34952,37057,39869,43466,47292,50673,52475,54556,56930,60078,63463,66540,70658,74111,78100,83738,89473,94836,100115,106204,111859,117887,125951,135132,137508,140239,135723,139156,143643,152716,161407,171578,178129,183912,188787
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","75 - 79세",4789,5501,5907,6556,7320,8747,9522,10163,10500,10781,11396,11902,12863,13695,14639,15684,16492,17463,18537,19552,21984,23181,24164,24795,25497,26703,28627,30638,33060,35948,38648,40474,42575,44667,47353,49721,53034,56504,59788,63419,68462,74005,78666,83558,89915,95736,102266,109683,117946,120369,123269,119529,123253,127632,136444
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","80세이상",3062,3225,3445,3719,4034,5023,5442,5976,6602,7318,8056,8340,8769,9251,9894,10524,11232,12034,12886,13725,15807,16821,17889,19006,20179,21416,23520,24542,25270,25865,26684,29047,31395,33597,36358,39448,41816,44956,48706,53106,57172,61076,65468,70280,75734,82883,92377,99496,106636,115783,125387,135085,145053,155839,163708
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","80 - 84세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17409,19107,20735,22501,24658,26688,27794,29581,31692,34356,36739,39028,41767,44178,46937,51648,57362,61578,65846,71442,76462,81672,87960,94949,96996
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","85 - 89세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6846,7474,8113,8447,8854,9540,10527,11542,12861,14304,15528,16513,17545,18961,21194,22984,25399,27514,29173,31323,34657,38166,40783,43597,47722
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","90 - 94세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2006,2050,2124,2197,2353,2686,2940,3227,3498,3697,4054,4588,5093,6021,6441,6881,7980,8506,9356,10630,11666,12418,13299,13981,15276
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","95 - 99세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,369,357,362,392,429,460,474,516,560,644,740,840,950,994,1023,1214,1462,1711,2058,2136,2304,2483,2644,2916,3336
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","부산광역시","계","100세 이상",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,59,61,60,64,74,81,90,95,105,111,107,113,126,139,156,174,187,203,252,298,346,367,396,378
