"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","계",282596,299698,317409,335799,355047,374958,404576,436035,469631,505843,545538,571376,597995,625084,651499,676257,686049,703284,730661,762359,794065,829234,865654,902858,940877,979606,998430,1015754,1023077,1026735,1035658,1046883,1056936,1062369,1067380,1071339,1076340,1079299,1091665,1098027,1099035,1112079,1124659,1137472,1151171,1163719,1166202,1158787,1152725,1145761,1139069,1125167,1113508,1106306,1102846
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","0 - 4세",40032,43801,47705,51497,55223,57357,60999,64756,69257,74537,81915,85285,88675,91459,91728,90382,85766,81756,80051,80671,80520,83488,87600,92062,96430,100378,99920,97983,94345,89493,85656,81942,76866,70758,66272,60987,56897,55317,55970,55847,55588,57125,57991,58491,59048,59831,58704,56122,52591,48744,44148,38990,34957,31627,29083
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","5 - 9세",37375,38241,39414,40804,42723,45171,49444,54142,58485,62314,65072,66813,68430,70607,73659,77563,79119,81935,85101,86302,85290,84008,82274,81278,81802,83863,85368,88369,91141,93427,95215,94918,93739,91004,87639,84356,80386,74568,69410,65262,60003,55839,54752,55138,55171,55794,57484,57780,57368,57275,57258,55657,53368,50181,46582
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","10 - 14세",36066,37386,38880,39647,39765,39695,41210,42792,44586,47164,50417,53819,57433,60548,63114,64819,64885,65454,66924,69666,73360,77786,82580,86609,88749,88872,87147,83895,80977,79156,79346,80722,83992,87969,90636,92651,91839,90563,88455,85465,82613,79037,74589,69257,65111,60055,55787,54172,54372,54115,54546,55798,56114,55694,55516
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","15 - 19세",28253,30524,32763,35147,37360,39104,41814,44383,46726,48391,49534,49341,49455,50190,51704,53651,55141,57254,59739,61763,62732,65189,67400,69816,73208,78157,81412,85027,86951,86588,84386,79183,74006,70485,69344,71628,74543,75580,77794,79594,81913,85191,84374,82322,79423,77470,73861,68755,63633,59151,55122,51200,49640,51748,52588
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","20 - 24세",24538,26141,27984,29513,31575,34930,39883,44546,49424,54544,59470,61731,63084,63211,62380,61141,60431,60302,61074,63051,66641,70582,74501,77737,79874,80924,79657,77662,75547,74152,74635,78857,82094,82356,79672,73275,68888,66208,64156,61946,60301,63125,68500,74527,78359,79495,79397,77143,74836,72006,69597,65190,59400,51985,48081
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","25 - 29세",24303,25767,27887,30895,34338,38067,41909,46183,51183,57721,66480,71810,76652,81797,86772,91241,93226,95764,98931,101240,103209,102449,102026,102395,103883,106106,104713,103994,101010,96845,92186,89364,85926,83152,81737,82193,83539,84827,87209,87085,82369,77369,73313,70930,71755,75164,76159,76011,77232,76758,75960,75158,72743,70568,68384
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","30 - 34세",21174,23019,25057,26703,28319,29824,32041,35167,39134,43689,48429,51434,54951,59015,64239,69758,74889,79279,85763,92439,98239,104148,109271,113113,115524,117004,114937,112602,109358,107600,107385,106850,106866,105134,102187,98103,94519,90706,89115,87851,88241,91189,94724,96526,96365,92746,87853,81149,75889,72838,71597,69943,70246,71896,72904
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","35 - 39세",16369,17835,19376,20992,22471,23859,26001,28293,30407,32248,34011,35456,37613,40582,44151,47791,48760,51612,54699,59193,66844,73929,80889,88238,95536,101860,106485,110952,112965,112541,111939,110375,109428,108401,109115,108456,108540,108022,107560,104816,101279,97278,93593,91244,90281,92444,94984,97200,96957,94838,88693,82303,76079,71671,69426
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","40 - 44세",12134,12891,13719,14680,15770,17122,18835,20525,22234,23906,25456,27272,29195,30777,32064,33346,34210,35887,38644,42219,45627,49061,52545,56307,61354,68452,75035,80839,86847,92900,97480,102349,106739,110208,111021,110864,109518,108632,107945,109853,109727,109874,109718,108862,105927,103064,98363,93615,90574,88280,89236,90684,92584,92746,91026
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","45 - 49세",10150,10501,10766,11140,11680,12299,13103,14065,15131,16311,17741,19373,20903,22465,24026,25497,26643,28103,29658,30997,31764,33443,35769,38935,42719,46658,49808,53273,56103,59754,66040,72336,77621,83436,90018,95327,101066,104957,108886,109180,108904,107936,107921,107092,110951,111554,110531,109471,107634,103668,99905,94508,90172,87234,85639
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","50 - 54세",8444,8681,8971,9428,9849,10159,10584,10986,11399,11903,12493,13268,14236,15316,16550,17868,18971,20290,21883,23580,24821,26625,28532,30105,31299,32420,33849,36017,38718,41865,45295,48211,51824,55143,58663,64215,69761,74773,81087,87735,93019,100070,103783,107440,107537,107991,106243,106104,104815,108036,107601,106192,105403,103910,100560
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","55 - 59세",7687,7901,7841,7815,7908,8112,8512,9002,9611,10199,10639,10958,11302,11735,12307,12978,13381,14105,15142,16332,17530,19123,20679,22263,23801,25200,26743,28539,29698,30323,31098,32516,34294,36860,39931,43718,47117,50152,53162,56204,61527,67567,72643,78370,84967,90242,97498,100547,103806,103108,102944,100716,100872,100409,104227
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","60 - 64세",6291,6575,6650,6765,6795,6923,7291,7602,7809,8010,8264,8609,9050,9603,10175,10650,10748,10935,11308,11835,12489,13267,14205,15216,16325,17624,19333,20742,21946,22971,23880,25393,27060,28332,29219,29954,30783,31962,34103,36828,39803,43487,46825,49765,52934,58399,64084,68607,73757,79803,84821,91340,94160,97678,97338
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","65 - 69세",4028,4456,4410,4680,5091,5429,5711,6022,6312,6539,6807,6985,7179,7348,7539,7778,7927,8253,8774,9427,9928,10280,10653,11108,11697,12391,13131,14012,14791,15550,16558,18008,19069,20096,21083,22616,23650,25364,26904,27802,28366,28557,29836,31437,34220,37014,40707,43719,46336,49065,54434,59607,63957,68992,74939
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","70 - 74세",3363,3419,3328,3258,3136,3320,3480,3658,3926,4266,4543,4808,5113,5399,5686,6008,5992,6124,6348,6587,6949,7231,7635,8171,8728,9180,9520,9889,10227,10643,11127,11723,12420,13171,14011,15025,16193,17118,18075,19183,20237,21518,23281,25332,26151,27050,26465,27603,28939,31633,34253,37634,40504,43089,45728
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","75 - 79세",1258,1440,1536,1698,1888,2247,2341,2392,2364,2321,2352,2473,2712,2933,3184,3456,3541,3689,3911,4156,4736,4985,5183,5306,5443,5686,6013,6331,6667,7043,7381,7692,8110,8500,8942,9482,10036,10726,11365,12141,12981,14006,15018,16037,17094,18293,19332,20715,22637,23267,23970,23600,24752,26000,28459
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","80세이상",1131,1120,1122,1137,1156,1340,1418,1521,1643,1780,1915,1941,2012,2099,2221,2330,2419,2542,2711,2901,3386,3640,3912,4199,4505,4831,5359,5628,5786,5884,6051,6444,6882,7364,7890,8489,9065,9824,10469,11235,12164,12911,13798,14702,15877,17113,18750,20074,21349,23176,24984,26647,28557,30878,32366
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","울산광역시","계","80 - 84세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3882,4135,4360,4700,5105,5458,5791,6249,6537,6973,7470,7864,8357,8912,9636,10469,11558,12335,13028,13929,14876,15663,16865,18586,19087
