"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","계",803730,838028,873538,909047,945093,981336,1032326,1084703,1138750,1194725,1253487,1314846,1365747,1412411,1474260,1541084,1592771,1646661,1709667,1784715,1896801,1979437,2065278,2153047,2242714,2333769,2375816,2421017,2464340,2494341,2522462,2550919,2571760,2573467,2571244,2581406,2606698,2642899,2689010,2699716,2722990,2754739,2793754,2829608,2862241,2882868,2907366,2923859,2935848,2952200,2951065,2949742,2975225,3008826,3049340
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","0 - 4세",104303,110009,115494,120177,124224,124370,127099,129652,133243,137796,145516,153770,160690,165997,168666,169260,166964,163705,163363,167931,174384,181432,191016,201439,211743,221206,218854,213871,207065,197129,188259,180973,170799,157853,146576,137165,129049,126727,129745,127821,128890,132366,135879,136368,136229,136335,133496,127659,120752,114576,104166,94707,89671,85735,82847
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","5 - 9세",106827,106012,105975,106414,108068,110822,117284,124169,129684,133591,134877,137409,138281,139703,144347,151340,158803,167388,175373,179579,182763,181955,180109,179816,182872,189424,192069,198644,206534,213041,217231,214360,208039,197708,187978,181070,174596,165584,157513,149068,139519,131112,129629,131868,131634,132588,136188,136720,135148,133598,132995,130086,126307,121877,118028
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","10 - 14세",109146,112557,116450,118137,117880,117063,116401,115768,115529,117048,119839,126726,132668,136730,140938,143888,144305,144309,144960,148398,156732,167552,179338,189628,195905,197779,194517,188318,184422,182545,184221,186794,192497,197560,202295,204909,203342,199341,193865,186669,181316,174901,166700,158251,151131,141412,133435,130406,131465,130564,131085,133844,135844,135844,136314
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","15 - 19세",87100,96034,105199,115181,124954,133476,139605,144928,149222,151143,151320,148189,144608,142384,143962,147383,151401,155470,158996,161289,163926,165112,165466,166126,168842,174714,183108,192938,200834,203185,200034,192803,184284,176800,172665,173295,178141,184299,190493,194517,197456,199524,196115,190309,184490,179846,174264,166160,156301,149669,140167,132166,130742,133624,134159
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","20 - 24세",72643,75614,79081,81492,85192,92089,104539,116118,128161,140680,152503,161235,166261,167536,168178,168527,166982,165312,164632,167284,177454,185518,193307,199132,202010,202083,197974,192627,188688,186132,187221,197275,207274,212409,209799,202201,193863,185886,180331,177044,176591,179202,186954,195309,200015,201101,201791,199102,193396,189346,186362,178643,169629,160796,156598
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","25 - 29세",69533,69464,70881,74030,77565,81044,86877,93202,100545,110391,123839,137757,149933,162571,177247,192525,201498,209759,217630,223899,233957,231909,230607,231084,234065,238682,238696,240866,239830,235262,227863,222080,214920,208845,203110,203805,210805,220492,227295,224800,217440,208407,198610,192004,190242,191625,194079,202086,210764,216806,219100,218328,215759,211395,205823
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","30 - 34세",62558,65019,67666,68940,69883,70359,73409,78253,84598,91754,98822,104917,110935,117477,127554,138869,155200,169201,186804,205689,227746,241855,254193,263596,269703,273663,266758,260007,253474,249851,248363,249410,251075,249359,243867,237617,230210,224103,221731,216634,219167,225995,235759,240624,240238,229591,219461,207906,199536,196142,195874,196877,207608,220194,229369
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","35 - 39세",48614,51808,55048,58325,61060,63414,67255,71223,74491,76882,78905,81465,84760,89400,96185,103563,106687,112897,118542,127201,145248,164024,183239,204082,225600,245574,255431,265552,272209,272514,270847,263317,255816,247498,245583,245134,248680,254381,259016,254290,250209,242735,236300,231032,227573,231063,238224,244861,246323,243258,230516,219392,210851,207339,210026
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","40 - 44세",36570,38612,40840,43416,46321,49925,53606,57023,60304,63313,65826,70012,73695,76121,78602,81444,83438,86497,91223,97701,105574,112687,119797,127411,137781,152543,169450,185498,204308,223612,238719,249305,258801,263312,261672,258942,254115,251115,248133,250628,251845,255761,259972,263354,260710,255943,247308,238909,231999,227258,229064,234576,243961,250111,252410
